Supplementary Table 1. Univariable Cox regression analysis of individual TEs in four endpoints.													
coef	se	z	p	HR	HRse	HRz	HRp	HRCILL	HRCIUL	repName	repFamily	repClass	endpoint
0.614	0.245	2.511	0.012	1.848	0.452	1.876	0.061	1.144	2.984	MER4A1	ERV1	LTR	dss
0.634	0.243	2.611	0.009	1.886	0.458	1.933	0.053	1.171	3.036	MER50	ERV1	LTR	dss
0.541	0.242	2.242	0.025	1.719	0.415	1.731	0.083	1.07	2.759	MER52-int	ERV1	LTR	dss
0.834	0.255	3.264	0.001	2.301	0.588	2.215	0.027	1.395	3.796	MER57A1	ERV1	LTR	dss
-0.48	0.238	-2.014	0.044	0.619	0.147	-2.584	0.01	0.388	0.987	MER57C1	ERV1	LTR	dss
0.589	0.241	2.44	0.015	1.801	0.434	1.845	0.065	1.123	2.89	MER57D	ERV1	LTR	dss
0.522	0.241	2.167	0.03	1.686	0.406	1.688	0.091	1.051	2.704	MER5A1	hAT-Charlie	DNA	dss
0.531	0.24	2.214	0.027	1.701	0.408	1.718	0.086	1.063	2.722	MER61B	ERV1	LTR	dss
0.582	0.243	2.395	0.017	1.79	0.435	1.816	0.069	1.112	2.881	MER61C	ERV1	LTR	dss
0.57	0.24	2.374	0.018	1.769	0.425	1.81	0.07	1.105	2.832	MER65B	ERV1	LTR	dss
0.781	0.248	3.155	0.002	2.184	0.541	2.19	0.029	1.344	3.547	MER65C	ERV1	LTR	dss
0.618	0.244	2.528	0.011	1.855	0.454	1.885	0.059	1.149	2.996	MER66A	ERV1	LTR	dss
0.6	0.243	2.473	0.013	1.822	0.442	1.86	0.063	1.133	2.931	MER68-int	ERVL	LTR	dss
0.637	0.243	2.622	0.009	1.891	0.459	1.94	0.052	1.175	3.044	MER68C	ERVL	LTR	dss
0.593	0.245	2.426	0.015	1.81	0.443	1.83	0.067	1.121	2.923	MER70A	ERVL	LTR	dss
0.653	0.249	2.618	0.009	1.921	0.479	1.922	0.055	1.178	3.131	MER74C	ERVL	LTR	dss
0.572	0.243	2.355	0.019	1.772	0.43	1.793	0.073	1.101	2.851	MER77	ERVL	LTR	dss
0.594	0.242	2.461	0.014	1.812	0.438	1.855	0.064	1.129	2.91	MER81	hAT-Blackjack	DNA	dss
0.616	0.243	2.539	0.011	1.851	0.449	1.896	0.058	1.151	2.977	MER83B	ERV1	LTR	dss
0.475	0.24	1.98	0.048	1.607	0.385	1.577	0.115	1.005	2.571	MER87	ERV1	LTR	dss
0.81	0.25	3.241	0.001	2.249	0.562	2.221	0.026	1.378	3.67	MER87B	ERV1	LTR	dss
0.615	0.243	2.536	0.011	1.85	0.449	1.894	0.058	1.15	2.977	MER91B	hAT-Tip100	DNA	dss
0.818	0.249	3.28	0.001	2.266	0.565	2.24	0.025	1.39	3.695	MER9a3	ERVK	LTR	dss
0.729	0.249	2.925	0.003	2.073	0.517	2.076	0.038	1.272	3.379	MLT1A1-int	ERVL-MaLR	LTR	dss
0.487	0.241	2.021	0.043	1.628	0.392	1.6	0.11	1.015	2.611	MLT1B	ERVL-MaLR	LTR	dss
0.561	0.243	2.313	0.021	1.753	0.425	1.77	0.077	1.089	2.819	MLT1D	ERVL-MaLR	LTR	dss
0.512	0.241	2.126	0.033	1.669	0.402	1.664	0.096	1.041	2.676	MLT1E2	ERVL-MaLR	LTR	dss
-0.57	0.241	-2.364	0.018	0.565	0.136	-3.186	0.001	0.352	0.907	MLT1E2-int	ERVL-MaLR	LTR	dss
0.632	0.245	2.584	0.01	1.881	0.46	1.916	0.055	1.165	3.038	MLT1F-int	ERVL-MaLR	LTR	dss
0.487	0.241	2.023	0.043	1.628	0.392	1.601	0.109	1.015	2.611	MLT1F2	ERVL-MaLR	LTR	dss
0.581	0.243	2.393	0.017	1.788	0.434	1.815	0.069	1.111	2.877	MLT1G-int	ERVL-MaLR	LTR	dss
0.664	0.245	2.713	0.007	1.942	0.475	1.983	0.047	1.202	3.137	MLT1G1	ERVL-MaLR	LTR	dss
0.487	0.241	2.021	0.043	1.627	0.392	1.6	0.11	1.015	2.61	MLT1H	ERVL-MaLR	LTR	dss
0.674	0.244	2.758	0.006	1.963	0.48	2.006	0.045	1.216	3.169	MLT1H1	ERVL-MaLR	LTR	dss
0.615	0.245	2.513	0.012	1.85	0.453	1.877	0.06	1.145	2.988	MLT1I	ERVL-MaLR	LTR	dss
0.559	0.243	2.305	0.021	1.749	0.424	1.765	0.078	1.087	2.815	MLT1O	ERVL-MaLR	LTR	dss
0.484	0.241	2.008	0.045	1.622	0.391	1.592	0.111	1.012	2.602	MLT2B1	ERVL	LTR	dss
0.557	0.244	2.279	0.023	1.746	0.427	1.748	0.081	1.081	2.819	MLT2B2	ERVL	LTR	dss
0.475	0.239	1.989	0.047	1.608	0.384	1.583	0.113	1.007	2.568	MLT2B4	ERVL	LTR	dss
0.633	0.247	2.56	0.01	1.883	0.465	1.897	0.058	1.16	3.055	MLT2D	ERVL	LTR	dss
0.647	0.245	2.646	0.008	1.91	0.467	1.948	0.051	1.183	3.085	MST-int	ERVL-MaLR	LTR	dss
0.55	0.241	2.277	0.023	1.733	0.418	1.752	0.08	1.079	2.781	MSTA	ERVL-MaLR	LTR	dss
0.784	0.248	3.166	0.002	2.191	0.543	2.195	0.028	1.348	3.56	MSTA-int	ERVL-MaLR	LTR	dss
0.564	0.241	2.336	0.019	1.757	0.424	1.786	0.074	1.095	2.82	MSTB-int	ERVL-MaLR	LTR	dss
0.491	0.241	2.038	0.042	1.634	0.394	1.61	0.107	1.019	2.62	MSTD-int	ERVL-MaLR	LTR	dss
0.733	0.247	2.963	0.003	2.08	0.514	2.101	0.036	1.281	3.377	PABL_B-int	ERV1	LTR	dss
0.822	0.252	3.26	0.001	2.274	0.573	2.223	0.026	1.388	3.727	SVA_A	SVA	Retroposon	dss
0.658	0.243	2.71	0.007	1.931	0.469	1.986	0.047	1.2	3.107	SVA_C	SVA	Retroposon	dss
0.796	0.247	3.223	0.001	2.217	0.548	2.222	0.026	1.366	3.598	SVA_D	SVA	Retroposon	dss
0.809	0.247	3.271	0.001	2.245	0.555	2.243	0.025	1.383	3.645	SVA_F	SVA	Retroposon	dss
0.619	0.243	2.548	0.011	1.856	0.451	1.9	0.057	1.153	2.988	THE1A-int	ERVL-MaLR	LTR	dss
0.585	0.243	2.409	0.016	1.795	0.436	1.823	0.068	1.115	2.891	THE1B	ERVL-MaLR	LTR	dss
0.543	0.241	2.255	0.024	1.722	0.415	1.74	0.082	1.074	2.761	THE1B-int	ERVL-MaLR	LTR	dss
0.588	0.243	2.422	0.015	1.801	0.437	1.831	0.067	1.119	2.899	THE1C-int	ERVL-MaLR	LTR	dss
0.72	0.249	2.89	0.004	2.055	0.512	2.06	0.039	1.261	3.35	THE1D-int	ERVL-MaLR	LTR	dss
0.629	0.245	2.571	0.01	1.876	0.459	1.908	0.056	1.161	3.03	Tigger1	TcMar-Tigger	DNA	dss
0.506	0.239	2.117	0.034	1.659	0.397	1.661	0.097	1.038	2.65	Tigger3c	TcMar-Tigger	DNA	dss
0.644	0.245	2.626	0.009	1.903	0.467	1.936	0.053	1.177	3.077	Tigger9b	TcMar-Tigger	DNA	dss
0.407	0.185	2.204	0.028	1.502	0.277	1.811	0.07	1.046	2.157	AluJb	Alu	SINE	os
0.404	0.184	2.193	0.028	1.498	0.276	1.804	0.071	1.044	2.15	AluSg4	Alu	SINE	os
0.428	0.186	2.307	0.021	1.534	0.285	1.877	0.061	1.066	2.207	AluSq	Alu	SINE	os
0.398	0.184	2.167	0.03	1.489	0.274	1.787	0.074	1.039	2.135	AluSz6	Alu	SINE	os
0.381	0.184	2.073	0.038	1.464	0.269	1.724	0.085	1.021	2.099	AluYe5	Alu	SINE	os
0.372	0.185	2.006	0.045	1.451	0.269	1.675	0.094	1.009	2.087	Arthur1A	hAT-Tip100	DNA	os
0.437	0.185	2.367	0.018	1.548	0.286	1.918	0.055	1.078	2.223	Chap1_Mam	hAT-Charlie	DNA	os
0.394	0.184	2.139	0.032	1.483	0.273	1.768	0.077	1.034	2.129	Charlie1	hAT-Charlie	DNA	os
0.469	0.184	2.546	0.011	1.599	0.295	2.032	0.042	1.114	2.294	Charlie17a	hAT-Charlie	DNA	os
0.368	0.184	1.995	0.046	1.444	0.266	1.67	0.095	1.007	2.072	Charlie24	hAT-Charlie	DNA	os
0.438	0.187	2.338	0.019	1.549	0.29	1.893	0.058	1.073	2.236	Charlie7a	hAT-Charlie	DNA	os
0.372	0.185	2.014	0.044	1.451	0.268	1.682	0.093	1.01	2.084	Charlie8	hAT-Charlie	DNA	os
0.433	0.185	2.343	0.019	1.543	0.285	1.901	0.057	1.073	2.217	FLAM_A	Alu	SINE	os
0.368	0.183	2.007	0.045	1.444	0.265	1.679	0.093	1.009	2.068	FLAM_C	Alu	SINE	os
0.374	0.183	2.039	0.041	1.453	0.266	1.702	0.089	1.015	2.081	FordPrefect	hAT-Tip100	DNA	os
0.366	0.183	1.997	0.046	1.442	0.264	1.672	0.094	1.007	2.066	FRAM	Alu	SINE	os
0.4	0.186	2.147	0.032	1.492	0.278	1.77	0.077	1.035	2.15	HAL1M8	L1	LINE	os
0.388	0.183	2.12	0.034	1.474	0.27	1.758	0.079	1.03	2.11	HERV1_LTRd	ERV1	LTR	os
0.446	0.185	2.417	0.016	1.562	0.288	1.95	0.051	1.088	2.244	HERV9-int	ERV1	LTR	os
0.44	0.187	2.353	0.019	1.553	0.291	1.903	0.057	1.076	2.242	HERVH48-int	ERV1	LTR	os
0.392	0.186	2.108	0.035	1.479	0.275	1.744	0.081	1.028	2.129	HERVIP10FH-int	ERV1	LTR	os
0.411	0.184	2.239	0.025	1.509	0.277	1.836	0.066	1.053	2.162	HERVP71A-int	ERV1	LTR	os
0.381	0.185	2.055	0.04	1.464	0.271	1.709	0.088	1.018	2.106	HSMAR1	TcMar-Mariner	DNA	os
0.5	0.186	2.685	0.007	1.648	0.307	2.113	0.035	1.144	2.374	HSMAR2	TcMar-Mariner	DNA	os
0.434	0.185	2.345	0.019	1.544	0.286	1.902	0.057	1.074	2.219	Kanga1a	TcMar-Tc2	DNA	os
0.394	0.184	2.14	0.032	1.483	0.273	1.768	0.077	1.034	2.128	Kanga2_a	TcMar-Tc2	DNA	os
0.56	0.19	2.947	0.003	1.75	0.332	2.257	0.024	1.206	2.539	L1M3a	L1	LINE	os
0.366	0.184	1.985	0.047	1.442	0.266	1.662	0.096	1.005	2.069	L1MA5	L1	LINE	os
0.382	0.185	2.067	0.039	1.465	0.271	1.718	0.086	1.02	2.105	L1MB1	L1	LINE	os
0.377	0.184	2.048	0.041	1.458	0.268	1.707	0.088	1.016	2.091	L1MC3	L1	LINE	os
0.427	0.186	2.295	0.022	1.533	0.285	1.868	0.062	1.064	2.208	L1ME2	L1	LINE	os
0.455	0.186	2.443	0.015	1.576	0.294	1.963	0.05	1.094	2.271	L1ME3	L1	LINE	os
0.393	0.185	2.124	0.034	1.481	0.274	1.757	0.079	1.031	2.127	L1ME3C	L1	LINE	os
0.39	0.185	2.112	0.035	1.477	0.273	1.749	0.08	1.028	2.122	L1ME3G	L1	LINE	os
0.429	0.185	2.323	0.02	1.536	0.284	1.888	0.059	1.069	2.207	L1ME5	L1	LINE	os
0.363	0.184	1.969	0.049	1.438	0.265	1.652	0.099	1.002	2.063	L1MEf	L1	LINE	os
0.424	0.186	2.276	0.023	1.528	0.285	1.855	0.064	1.061	2.201	L1MEh	L1	LINE	os
0.374	0.184	2.032	0.042	1.453	0.267	1.695	0.09	1.013	2.083	L1PA5	L1	LINE	os
0.462	0.187	2.468	0.014	1.587	0.297	1.976	0.048	1.1	2.29	L1PA8	L1	LINE	os
0.405	0.183	2.21	0.027	1.499	0.275	1.818	0.069	1.047	2.147	L2-1_AMi	L2	LINE	os
0.387	0.184	2.099	0.036	1.473	0.272	1.741	0.082	1.026	2.115	LTR101_Mam	ERVL	LTR	os
0.498	0.184	2.705	0.007	1.646	0.303	2.13	0.033	1.147	2.362	LTR109A2	ERV1	LTR	os
0.44	0.184	2.393	0.017	1.552	0.285	1.936	0.053	1.083	2.225	LTR12C	ERV1	LTR	os
0.42	0.184	2.281	0.023	1.521	0.28	1.863	0.063	1.061	2.182	LTR12D	ERV1	LTR	os
0.497	0.186	2.668	0.008	1.644	0.306	2.102	0.036	1.141	2.369	LTR13	ERVK	LTR	os
0.402	0.184	2.183	0.029	1.494	0.275	1.798	0.072	1.042	2.143	LTR16A	ERVL	LTR	os
0.383	0.183	2.088	0.037	1.467	0.269	1.735	0.083	1.024	2.101	LTR16E2	ERVL	LTR	os
0.548	0.185	2.961	0.003	1.729	0.32	2.28	0.023	1.203	2.484	LTR19A	ERV1	LTR	os
0.471	0.185	2.549	0.011	1.602	0.296	2.033	0.042	1.115	2.301	LTR1C1	ERV1	LTR	os
0.591	0.188	3.143	0.002	1.805	0.339	2.374	0.018	1.249	2.609	LTR2	ERV1	LTR	os
0.403	0.184	2.186	0.029	1.496	0.275	1.799	0.072	1.042	2.146	LTR21B	ERV1	LTR	os
0.385	0.184	2.098	0.036	1.47	0.27	1.741	0.082	1.026	2.107	LTR22B1	ERVK	LTR	os
0.4	0.183	2.184	0.029	1.491	0.273	1.8	0.072	1.042	2.134	LTR22C0	ERVK	LTR	os
0.444	0.184	2.406	0.016	1.559	0.287	1.943	0.052	1.086	2.237	LTR23	ERV1	LTR	os
0.369	0.187	1.977	0.048	1.446	0.27	1.653	0.098	1.003	2.084	LTR24C	ERV1	LTR	os
0.503	0.187	2.686	0.007	1.653	0.309	2.111	0.035	1.145	2.385	LTR29	ERV1	LTR	os
0.367	0.184	2	0.045	1.444	0.265	1.674	0.094	1.007	2.07	LTR33	ERVL	LTR	os
0.385	0.183	2.099	0.036	1.469	0.269	1.743	0.081	1.026	2.105	LTR33A	ERVL	LTR	os
0.384	0.184	2.09	0.037	1.469	0.27	1.736	0.083	1.024	2.106	LTR34	ERV1	LTR	os
0.404	0.184	2.199	0.028	1.499	0.276	1.809	0.07	1.045	2.149	LTR35B	ERV1	LTR	os
0.369	0.184	2.008	0.045	1.446	0.266	1.679	0.093	1.009	2.074	LTR38B	ERV1	LTR	os
0.393	0.185	2.126	0.034	1.481	0.274	1.758	0.079	1.031	2.127	LTR39-int	ERV1	LTR	os
0.417	0.185	2.256	0.024	1.517	0.28	1.845	0.065	1.056	2.179	LTR4	ERV1	LTR	os
0.582	0.187	3.112	0.002	1.79	0.335	2.359	0.018	1.24	2.583	LTR5_Hs	ERVK	LTR	os
0.4	0.186	2.146	0.032	1.492	0.278	1.769	0.077	1.035	2.149	LTR50	ERVL	LTR	os
0.775	0.191	4.061	0	2.171	0.414	2.826	0.005	1.493	3.156	LTR5B	ERVK	LTR	os
0.413	0.187	2.207	0.027	1.512	0.283	1.808	0.071	1.047	2.182	LTR6A	ERV1	LTR	os
0.426	0.185	2.309	0.021	1.531	0.283	1.88	0.06	1.067	2.198	LTR7	ERV1	LTR	os
0.46	0.185	2.489	0.013	1.584	0.293	1.995	0.046	1.103	2.277	LTR75_1	ERV1	LTR	os
0.479	0.185	2.597	0.009	1.615	0.298	2.063	0.039	1.125	2.319	LTR7B	ERV1	LTR	os
-0.386	0.184	-2.103	0.035	0.68	0.125	-2.567	0.01	0.474	0.974	LTR82B	ERVL	LTR	os
0.49	0.185	2.653	0.008	1.632	0.301	2.098	0.036	1.136	2.343	LTR86A2	ERVL	LTR	os
0.43	0.186	2.315	0.021	1.537	0.285	1.882	0.06	1.068	2.211	LTR9A1	ERV1	LTR	os
0.402	0.186	2.16	0.031	1.495	0.278	1.778	0.075	1.038	2.153	MER110A	ERV1	LTR	os
0.384	0.185	2.076	0.038	1.468	0.271	1.724	0.085	1.022	2.109	MER113	hAT-Charlie	DNA	os
0.636	0.188	3.384	0.001	1.89	0.355	2.504	0.012	1.307	2.732	MER11D	ERVK	LTR	os
0.378	0.183	2.061	0.039	1.459	0.267	1.716	0.086	1.019	2.09	MER1A	hAT-Charlie	DNA	os
0.665	0.187	3.563	0	1.944	0.363	2.603	0.009	1.349	2.802	MER1B	hAT-Charlie	DNA	os
0.496	0.185	2.682	0.007	1.643	0.304	2.114	0.035	1.143	2.361	MER21C	ERVL	LTR	os
0.463	0.185	2.506	0.012	1.589	0.294	2.006	0.045	1.106	2.283	MER33	hAT-Charlie	DNA	os
0.565	0.186	3.038	0.002	1.759	0.327	2.321	0.02	1.222	2.532	MER34-int	ERV1	LTR	os
0.535	0.187	2.857	0.004	1.708	0.32	2.212	0.027	1.183	2.466	MER39	ERV1	LTR	os
0.431	0.184	2.342	0.019	1.539	0.284	1.902	0.057	1.073	2.209	MER41B	ERV1	LTR	os
0.488	0.185	2.639	0.008	1.629	0.301	2.088	0.037	1.134	2.341	MER48	ERV1	LTR	os
0.367	0.184	1.994	0.046	1.444	0.266	1.669	0.095	1.006	2.072	MER49	ERV1	LTR	os
0.459	0.186	2.474	0.013	1.582	0.294	1.984	0.047	1.1	2.276	MER4A1	ERV1	LTR	os
0.422	0.184	2.3	0.021	1.525	0.28	1.876	0.061	1.064	2.186	MER50	ERV1	LTR	os
0.431	0.184	2.342	0.019	1.539	0.283	1.902	0.057	1.073	2.208	MER50C	ERV1	LTR	os
0.42	0.185	2.266	0.023	1.522	0.282	1.85	0.064	1.058	2.19	MER51A	ERV1	LTR	os
0.402	0.186	2.168	0.03	1.495	0.277	1.785	0.074	1.039	2.151	MER57A1	ERV1	LTR	os
0.408	0.184	2.212	0.027	1.504	0.277	1.817	0.069	1.048	2.158	MER57B1	ERV1	LTR	os
-0.405	0.183	-2.213	0.027	0.667	0.122	-2.728	0.006	0.466	0.955	MER57C1	ERV1	LTR	os
0.441	0.184	2.396	0.017	1.554	0.286	1.938	0.053	1.084	2.228	MER57D	ERV1	LTR	os
0.427	0.183	2.328	0.02	1.532	0.281	1.895	0.058	1.07	2.194	MER61A	ERV1	LTR	os
0.388	0.183	2.119	0.034	1.475	0.27	1.756	0.079	1.03	2.112	MER65C	ERV1	LTR	os
0.416	0.183	2.267	0.023	1.516	0.278	1.855	0.064	1.058	2.172	MER68-int	ERVL	LTR	os
0.398	0.183	2.174	0.03	1.489	0.273	1.794	0.073	1.04	2.132	MER77B	ERVL	LTR	os
0.434	0.184	2.355	0.019	1.543	0.284	1.911	0.056	1.076	2.214	MER87B	ERV1	LTR	os
0.365	0.183	1.991	0.047	1.44	0.264	1.668	0.095	1.006	2.062	MER88	ERVL	LTR	os
0.571	0.186	3.063	0.002	1.77	0.33	2.334	0.02	1.228	2.55	MER91B	hAT-Tip100	DNA	os
0.382	0.185	2.07	0.038	1.465	0.27	1.72	0.085	1.02	2.104	MER94	hAT-Blackjack	DNA	os
0.488	0.184	2.645	0.008	1.629	0.3	2.093	0.036	1.135	2.338	MER9a3	ERVK	LTR	os
0.375	0.183	2.054	0.04	1.456	0.266	1.712	0.087	1.017	2.083	MIR1_Amn	MIR	SINE	os
0.449	0.186	2.411	0.016	1.567	0.292	1.942	0.052	1.088	2.257	MIR3	MIR	SINE	os
0.416	0.186	2.235	0.025	1.516	0.282	1.828	0.068	1.052	2.184	MLT1-int	ERVL-MaLR	LTR	os
0.401	0.186	2.154	0.031	1.494	0.278	1.774	0.076	1.037	2.152	MLT1A1	ERVL-MaLR	LTR	os
0.4	0.184	2.168	0.03	1.491	0.275	1.788	0.074	1.039	2.14	MLT1A1-int	ERVL-MaLR	LTR	os
0.372	0.184	2.02	0.043	1.451	0.268	1.687	0.092	1.011	2.083	MLT1B	ERVL-MaLR	LTR	os
0.421	0.184	2.288	0.022	1.524	0.28	1.867	0.062	1.062	2.186	MLT1G-int	ERVL-MaLR	LTR	os
0.387	0.184	2.108	0.035	1.473	0.27	1.748	0.08	1.028	2.111	MLT1H1	ERVL-MaLR	LTR	os
0.37	0.184	2.005	0.045	1.447	0.267	1.676	0.094	1.008	2.078	MLT1I	ERVL-MaLR	LTR	os
0.403	0.186	2.172	0.03	1.496	0.278	1.788	0.074	1.04	2.153	MLT1K	ERVL-MaLR	LTR	os
0.471	0.186	2.53	0.011	1.602	0.298	2.018	0.044	1.112	2.308	MLT1O	ERVL-MaLR	LTR	os
0.429	0.186	2.3	0.021	1.535	0.286	1.87	0.061	1.065	2.213	MLT2D	ERVL	LTR	os
0.607	0.187	3.249	0.001	1.835	0.343	2.435	0.015	1.272	2.647	MSTA-int	ERVL-MaLR	LTR	os
0.441	0.184	2.395	0.017	1.555	0.286	1.937	0.053	1.084	2.231	MSTB-int	ERVL-MaLR	LTR	os
0.376	0.183	2.05	0.04	1.457	0.267	1.709	0.087	1.017	2.087	PABL_B-int	ERV1	LTR	os
0.455	0.185	2.452	0.014	1.576	0.292	1.97	0.049	1.095	2.266	SVA_A	SVA	Retroposon	os
0.38	0.183	2.077	0.038	1.462	0.268	1.728	0.084	1.022	2.093	SVA_B	SVA	Retroposon	os
0.433	0.183	2.362	0.018	1.542	0.283	1.917	0.055	1.076	2.209	SVA_C	SVA	Retroposon	os
0.542	0.186	2.918	0.004	1.719	0.319	2.253	0.024	1.195	2.472	SVA_D	SVA	Retroposon	os
0.412	0.183	2.247	0.025	1.509	0.277	1.842	0.066	1.054	2.162	SVA_E	SVA	Retroposon	os
0.601	0.186	3.231	0.001	1.824	0.339	2.429	0.015	1.267	2.626	SVA_F	SVA	Retroposon	os
0.411	0.184	2.238	0.025	1.509	0.277	1.835	0.067	1.052	2.163	THE1A-int	ERVL-MaLR	LTR	os
0.377	0.184	2.047	0.041	1.457	0.268	1.706	0.088	1.016	2.09	THE1B	ERVL-MaLR	LTR	os
0.443	0.185	2.395	0.017	1.558	0.288	1.935	0.053	1.084	2.238	THE1C-int	ERVL-MaLR	LTR	os
0.371	0.186	1.999	0.046	1.449	0.269	1.67	0.095	1.007	2.086	THE1D	ERVL-MaLR	LTR	os
0.51	0.187	2.728	0.006	1.665	0.311	2.137	0.033	1.154	2.402	THE1D-int	ERVL-MaLR	LTR	os
0.66	0.19	3.476	0.001	1.934	0.367	2.545	0.011	1.333	2.806	Tigger1	TcMar-Tigger	DNA	os
0.377	0.184	2.049	0.04	1.458	0.268	1.707	0.088	1.016	2.092	Tigger17a	TcMar-Tigger	DNA	os
0.338	0.165	2.051	0.04	1.402	0.231	1.74	0.082	1.015	1.937	Charlie19a	hAT-Charlie	DNA	pfi
0.328	0.165	1.995	0.046	1.389	0.229	1.701	0.089	1.006	1.918	Charlie2b	hAT-Charlie	DNA	pfi
0.443	0.167	2.658	0.008	1.557	0.259	2.148	0.032	1.123	2.158	Charlie7a	hAT-Charlie	DNA	pfi
0.411	0.165	2.483	0.013	1.508	0.25	2.036	0.042	1.09	2.086	Charlie8	hAT-Charlie	DNA	pfi
0.442	0.166	2.66	0.008	1.556	0.259	2.15	0.032	1.123	2.155	DNA1_Mam	TcMar	DNA	pfi
0.416	0.165	2.52	0.012	1.516	0.25	2.062	0.039	1.097	2.095	ERV3-16A3_LTR	ERVL	LTR	pfi
0.434	0.167	2.596	0.009	1.543	0.258	2.106	0.035	1.112	2.142	Eulor8	TcMar?	DNA	pfi
0.334	0.164	2.039	0.041	1.397	0.229	1.733	0.083	1.013	1.927	FAM	Alu	SINE	pfi
0.341	0.164	2.072	0.038	1.406	0.231	1.756	0.079	1.019	1.94	FordPrefect	hAT-Tip100	DNA	pfi
0.354	0.164	2.159	0.031	1.425	0.234	1.818	0.069	1.033	1.965	HERV-Fc2-int	ERV1	LTR	pfi
0.573	0.169	3.401	0.001	1.774	0.299	2.588	0.01	1.275	2.468	HERV30-int	ERV1	LTR	pfi
0.393	0.165	2.377	0.017	1.481	0.245	1.966	0.049	1.071	2.047	HERV9NC-int	ERV1	LTR	pfi
0.453	0.167	2.713	0.007	1.573	0.263	2.182	0.029	1.134	2.182	HERVH48-int	ERV1	LTR	pfi
0.326	0.164	1.988	0.047	1.386	0.227	1.696	0.09	1.005	1.911	HERVK3-int	ERVK	LTR	pfi
0.477	0.166	2.878	0.004	1.611	0.267	2.29	0.022	1.164	2.228	HERVP71A-int	ERV1	LTR	pfi
0.505	0.167	3.024	0.002	1.657	0.277	2.374	0.018	1.194	2.298	HSMAR2	TcMar-Mariner	DNA	pfi
0.351	0.164	2.139	0.032	1.421	0.233	1.804	0.071	1.03	1.96	HUERS-P1-int	ERV1	LTR	pfi
0.366	0.167	2.186	0.029	1.442	0.241	1.831	0.067	1.039	2.001	Kanga1	TcMar-Tc2	DNA	pfi
0.33	0.165	2	0.045	1.391	0.229	1.704	0.088	1.007	1.921	Kanga1a	TcMar-Tc2	DNA	pfi
0.365	0.165	2.219	0.026	1.441	0.237	1.859	0.063	1.044	1.99	L1M2a1	L1	LINE	pfi
0.49	0.168	2.927	0.003	1.633	0.273	2.313	0.021	1.176	2.267	L1M3a	L1	LINE	pfi
0.415	0.166	2.498	0.013	1.514	0.251	2.044	0.041	1.093	2.096	L1MB3	L1	LINE	pfi
0.401	0.166	2.413	0.016	1.493	0.248	1.988	0.047	1.078	2.067	L1MB5	L1	LINE	pfi
0.379	0.166	2.281	0.023	1.461	0.243	1.898	0.058	1.055	2.024	L1MDb	L1	LINE	pfi
0.366	0.165	2.216	0.027	1.442	0.238	1.856	0.063	1.043	1.993	L1ME3	L1	LINE	pfi
0.459	0.166	2.765	0.006	1.583	0.263	2.217	0.027	1.143	2.191	L1ME3C	L1	LINE	pfi
0.364	0.166	2.199	0.028	1.439	0.238	1.843	0.065	1.04	1.991	L1ME4b	L1	LINE	pfi
0.351	0.165	2.128	0.033	1.42	0.234	1.795	0.073	1.028	1.962	L1PA5	L1	LINE	pfi
0.326	0.165	1.98	0.048	1.386	0.228	1.689	0.091	1.003	1.914	L1PA6	L1	LINE	pfi
0.33	0.165	1.996	0.046	1.391	0.23	1.701	0.089	1.006	1.922	L1PB	L1	LINE	pfi
0.443	0.165	2.688	0.007	1.558	0.257	2.171	0.03	1.128	2.152	L2-1_AMi	L2	LINE	pfi
0.349	0.164	2.124	0.034	1.418	0.233	1.793	0.073	1.027	1.957	LFSINE_Vert	tRNA	SINE	pfi
0.372	0.165	2.253	0.024	1.451	0.24	1.881	0.06	1.05	2.005	LTR104_Mam	Gypsy	LTR	pfi
0.322	0.163	1.975	0.048	1.38	0.225	1.688	0.091	1.002	1.9	LTR108e_Mam	ERVL	LTR	pfi
0.526	0.166	3.177	0.001	1.693	0.28	2.47	0.013	1.223	2.342	LTR109A2	ERV1	LTR	pfi
0.324	0.165	1.97	0.049	1.383	0.228	1.682	0.092	1.002	1.909	LTR10B1	ERV1	LTR	pfi
0.361	0.165	2.188	0.029	1.434	0.237	1.837	0.066	1.038	1.982	LTR12D	ERV1	LTR	pfi
0.415	0.166	2.507	0.012	1.514	0.251	2.052	0.04	1.095	2.095	LTR13A	ERVK	LTR	pfi
0.325	0.164	1.982	0.047	1.384	0.227	1.692	0.091	1.004	1.909	LTR16	ERVL	LTR	pfi
0.338	0.164	2.055	0.04	1.402	0.23	1.744	0.081	1.016	1.934	LTR16B1	ERVL	LTR	pfi
0.372	0.164	2.27	0.023	1.451	0.238	1.896	0.058	1.052	2	LTR19A	ERV1	LTR	pfi
0.325	0.164	1.976	0.048	1.384	0.228	1.687	0.092	1.003	1.91	LTR1B	ERV1	LTR	pfi
0.434	0.166	2.624	0.009	1.544	0.256	2.128	0.033	1.116	2.136	LTR1C1	ERV1	LTR	pfi
0.35	0.165	2.122	0.034	1.419	0.234	1.791	0.073	1.027	1.961	LTR2	ERV1	LTR	pfi
-0.344	0.166	-2.076	0.038	0.709	0.117	-2.478	0.013	0.513	0.981	LTR22	ERVK	LTR	pfi
0.347	0.169	2.058	0.04	1.415	0.238	1.739	0.082	1.017	1.968	LTR22C2	ERVK	LTR	pfi
